chimp,sex,maternity,paternity,momage,parity,bo,rearing, age ,hi,date1,rbc,wbc,hct,hgb,mcv,mch,mchc,lymph,monos,eos,date2,rbc2,wbc2,hct2,hgb2,mcv2,mch2,mchc2,lymp2,mono2,eos2,date3,rbc3,wbc3,hct3,hgb3,mcv3,mch3,mchc3,lymp3,mono3,eos3
Rufus,2,Gwennie,Jiggs,12,1,1,1,16,0.2,11/03/1997,6.11,7300,48.3,15.9,79.1,26,32.9,20,0,0,10/03/1998,5.9,8500,46.8,15.6,79.3,26.4,33.3,49,2,3,14/04/1999,6.22,19800,49.6,16.5,79.7,26.5,33.3,15,5,0
Sabrina,1,Mary,Homer,18.25,3,2,2,19,0.2,16/10/1997,4.98,19000,42,13.8,84.3,27.7,32.9,24,3,16,06/10/1998,4.87,8700,41.4,13.9,85,28.5,33.6,58,8,0,20/10/1999,4.97,8800,41.7,13.4,83.9,27,32.1,51,5,5
Sam,2,Tari,Homer,24.33,6,3,1,15,0.25,08/10/1997,5.64,7200,47.5,16.5,84.2,29.3,34.7,40,1,1,08/10/1998,5.59,7400,47.8,16.5,85.5,29.5,34.5,54,0,0,26/10/1999,5.88,13100,50,16.6,85,28.2,33.2,20,2,2
Scott,2,Jencie,Jimoh,15.08,1,1,2,10,0.48,17/06/1997,6.16,13600,49.4,16.9,80.2,27.4,34.2,15,0,1,21/05/1998,5.56,13400,45.4,15.2,81.7,27.3,33.5,43,1,0,15/07/1999,5.69,14800,46,15.6,80.8,27.4,33.9,40,0,1
Sean,2,Barbi,Rogger,15.75,2,2,1,5,0.3,13/05/1997,5.44,11800,41.4,13.9,76.1,25.6,33.6,17,1,0,28/05/1998,5.28,13500,41,14,77.7,26.5,34.1,29,0,3,02/06/1999,5.18,13000,40.4,13.8,78,26.6,34.2,32,1,0
Sellers,2,Marilyne,Walnut,12,2,2,2,13.5,0.31,23/06/1997,5.81,8600,42.6,14.1,73.3,24.3,33.1,36,0,0,29/04/1998,5.97,14100,45.4,14.9,76,25,32.8,22,4,1,30/06/1999,5.79,15100,43.8,14.8,75.6,25.6,33.8,26,3,0
Sheena,1,Sabrina,Puddin,10.25,1,1,2,8.5,0.16,04/09/1997,5.42,15800,44.2,14.6,81.5,26.9,33,30,0,0,28/07/1998,4.98,9000,41.1,13.8,82.5,27.7,33.6,66,6,1,13/07/1999,4.68,9800,38.9,12.6,83.1,26.9,32.4,31,7,0
Sheila,1,Lolita,Hep,12,3,3,1,24.5,0.36,07/02/1997,5.11,7200,41.1,13.8,80.4,27,33.6,62,0,10,25/03/1998,4.93,8900,41,13.6,83.2,27.6,33.2,32,3,0,18/03/1999,5.08,6900,42.7,14.2,84.1,28,33.3,37,2,1
Shirley,1,Tai,Rogger,18,4,2,2,25.5,-0.14,17/09/1997,4.71,12800,37.4,12.3,79.4,26.1,32.9,38,1,11,30/09/1998,4.58,9900,37,12.4,80.8,27.1,33.5,58,4,2,9/22/99,4.52,17700,36.3,11.7,80.3,25.9,32.2,12,1,0
Socrates,2,Gwennie,Walnut,20,4,4,1,9.5,0.4,07/11/1996,5.42,17500,47.9,15.2,88.4,28,31.7,10,0,1,03/02/1998,5.98,12700,48.9,16.1,81.8,26.9,32.9,22,1,1,18/02/1999,5.85,19600,49.7,16.2,85,27.7,32.6,12,2,0
Sonia,1,,,,,,1,37,1,10/12/1996,4.81,17600,37.8,12.3,78.6,25.6,32.5,23,8,0,26/02/1998,5.41,11000,42.6,15,78.7,27.7,35.2,24,6,0,11/02/1999,5.99,9000,50.5,16.7,84.3,27.9,33.1,48,8,0
Steward,2,Vivienne,Rogger,19,4,4,1,3,0.29,20/02/1997,5.27,12600,40.8,13.1,77.4,24.9,32.1,33,5,4,11/03/1998,5.65,10100,42.9,14.4,75.9,25.5,33.6,40,10,4,11/03/1999,5.62,15400,43.9,14.5,78.1,25.8,33,23,3,0
Storer,2,Mai,Walnut,17,4,4,1,15,0.34,13/03/1997,5.28,11300,44.9,14.8,85,28,33,54,0,5,09/03/1998,5.36,13400,44.6,14.8,83.2,27.6,33.2,61,10,3,30/03/1999,5.27,10500,44.2,14.9,83.9,28.3,33.7,46,4,3
Suwanee,1,Peony,Walnut,17,3,2,1,11.5,0.26,15/01/1997,4.61,9700,39.9,12.8,86.6,27.8,32.1,30,1,4,20/01/1998,4.77,12200,38.8,13,81.3,27.3,33.5,21,0,4,07/01/1999,4.79,15300,38.9,13.2,81.2,27.6,33.9,11,1,0
Suzanna,1,Jenda,Hep,18,5,4,2,21,0.55,25/03/1997,5.26,12200,43.8,14.1,83.3,26.8,32.2,74,4,4,11/09/1997,5.01,25500,41.9,14.2,83.6,28.3,33.9,16,2,1,Sep-98,4.97,19900,41.4,14.4,83.3,28.4,34.1,15,1,0
Sylvia,1,Melissa,Carmichael,12.08,3,2,1,3.5,0,12/03/1997,4.65,9800,35.9,11.9,77.2,25.6,33.1,27,1,0,05/03/1998,4.49,10000,35.5,11.9,79.1,26.5,33.5,21,1,0,25/03/1999,4.86,9900,39,13,80.2,26.7,33.3,28,2,1
Tai,1,,,,,,1,30,-0.53,19/02/1997,4.5,23900,39.9,12.2,88.7,27.1,30.6,28,13,0,23/02/1998,4.04,18900,34.7,11.2,85.9,27.7,32.3,24,2,0,22/02/1999,4.56,12500,40.2,12.8,88.2,28.1,31.8,67,7,4
Tank,2,Leslie,Ossabaw,16.08,1,1,2,11.5,0.55,23/09/1997,5.88,14100,46.2,15,78.6,25.5,32.5,42,1,0,23/09/1998,5.49,11400,44.6,14.7,81.2,26.8,33,26,2,0,09/11/1999,5.85,16000,46.2,15.1,79,25.8,32.7,30,0,0
Tara,1,Rita,,,,,, -   ,,30/11/1995,4.95,17100,37.6,12.5,76,25.3,33.2,67,5,5,05/02/1998,5.43,16900,40.2,13.5,74,24.9,33.6,50,3,1,24/02/1999,5.33,9300,41.1,13.7,77.1,25.7,33.3,60,7,0
Travis,2,Cissie,Kipper,12.75,2,2,1,7.5,0.13,19/05/1997,5.48,13800,42.4,14,77.4,25.5,33,21,2,2,05/01/1998,6.18,14600,49,16.2,79.3,26.2,33.1,12,6,0,02/02/1999,6.41,16700,52.4,17.2,81.7,26.8,32.8,13,1,1
Virginia,1,Ericka,,17.5,3,2,1,5.5,0.41,26/02/1997,4.92,10500,38.8,12.4,78.9,15.2,32,46,0,2,19/02/1998,5,14500,40.3,13.4,80.6,26.8,33.3,38,2,0,10/02/1999,5.02,12500,41.8,13.6,83.3,27.1,32.5,34,0,3
Vivienne,1,Boka,,14.75,5,2,2,12.5,0.12,20/02/1997,5.63,14000,47.9,15.2,85.1,27,31.7,40,2,7,11/03/1998,5.54,12000,46,15.2,83,27.4,33,34,6,8,11/03/1999,5.22,10500,44.5,14.6,85.2,28,32.8,34,1,3
Waga,1,Banana,,35.92,8,6,1,14.5,-0.41,03/02/1997,5.2,17200,41,13.1,78.8,25.2,32,33,1,2,18/03/1998,4.88,12000,39.3,12.7,80.5,26,32.3,25,0,4,16/03/1999,5.05,14400,41.1,13.4,81.4,26.4,32.6,16,0,0
Wenka,1,Banka,Web,13,1,1,2,43,-1,16/06/1997,5.43,10700,44.6,14.9,82.1,27.4,33.4,24,2,10,20/05/1998,5.01,8500,41.5,13.8,82.8,27.5,33.3,56,1,1,07/07/1999,4.85,10400,40.5,13.6,83.5,28,33.6,48,3,1
Wilma,1,Vivien,Duncan,14.25,2,2,1,8,0.52,19/02/1997,4.71,18900,40.2,13,85.4,27.6,32.3,14,1,14,16/02/1998,4.88,20900,41.7,13.8,85.5,28.3,33.1,21,2,9,18/02/1999,4.63,18800,40.6,13.4,87.7,28.9,33,11,4,2
Wilson,2,Gay,Rogger,27.17,6,3,2,3.5,0,24/09/1997,4.85,15800,36.5,12.4,75.3,25.6,34,29,0,3,23/09/1998,5,7200,38.2,13.1,76.4,26.2,34.3,45,0,6,17/11/1999,5.47,7600,41.1,13.5,75.1,24.7,32.8,62,1,0
Winston,2,Barbara,Ossabaw,14.17,1,1,2,10.5,-0.18,30/07/1997,5.59,18200,46.7,15.8,83.5,28.3,33.8,20,0,4,23/07/1998,5.78,12000,48.8,17.1,84.4,29.6,35,19,1,0,29/07/1999,5.63,8600,47.4,16.1,84.2,28.6,34,27,2,2
Woodruff,2,Anna,Frans,20.3,6,3,2,21.5,1,24/06/1997,5.47,9300,46.8,15.6,85.6,28.5,33.3,46,1,5,10/06/1998,5.48,7800,48.2,16.1,88,29.4,33.4,47,4,0,07/07/1999,5.43,7600,46.6,15.3,85.8,28.2,32.8,48,3,1
Zana,1,Sheila,Jimoh,18.25,8,8,2,7,0.31,26/06/1997,5.36,7800,41.6,13.9,77.6,25.9,33.4,57,3,1,03/12/1997,5.37,7600,41.2,13.7,76.7,25.5,33.3,60,2,5,06/01/1999,5.36,9400,42.2,14,78.7,26.1,33.2,39,1,6
Zeb,2,Halpha,Walnut,23.08,4,3,2,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
