"","chimp","sex","ageDays","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal","BMI","BPs","BPd"
"84","Arthur",1,12.558904109589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,12,1.2,7.1,4.2,0.3,73,25,27,169,10.7,2.9,143,3.5,101,2.9,94,17,283,NA,NA,NA
"85","Arthur",1,6.51780821917808,8600,5.02,39.7,13,79.1,25.9,32.7,0.05,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Arthur",1,5.46849315068493,7900,5.09,42.1,13.2,82.7,25.9,31.4,0.043,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Arthur",1,14.5424657534247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"153",72
"88","Arthur",1,15.7808219178082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166",70
"89","Arthur",1,17.7205479452055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"129",66
"90","Artifee",0,26.8958904109589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,9,0.7,6.6,3.1,0.2,70,44,17,234,9,2.3,137,3.4,101,3.5,84,52,270,NA,NA,NA
"91","Artifee",0,27.9287671232877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,14,1.2,7.4,3.4,0.3,53,48,17,250,9.3,2.5,145,3.6,104,4,126,56,286,NA,NA,NA
"92","Artifee",0,22.8493150684932,15500,5.16,43.1,13.9,83.5,26.9,32.3,0.044,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Artifee",0,24.827397260274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,12,0.9,7.3,3,0.2,73,59,23,232,9.3,2,135,3.5,97,4.3,116,92,268,NA,NA,NA
