"","chimp","sex","ageDays","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal","BMI","BPs","BPd"
"1138","Phineas",NA,33.1835616438356,12400,5.57,42.3,13.8,75.9,24.8,32.6,0.036,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139","Phineas",NA,36.2164383561644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,12,0.9,7.7,2.9,0.3,96,27,23,214,8.1,2.6,137,4.1,97,4.8,104,18,272,NA,NA,NA
"1140","Phineas",NA,37.1534246575342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,13,1.1,7.4,2.9,0.2,84,22,23,207,7.8,1.6,136,3.5,100,4.5,85,15,269,NA,NA,NA
"1141","Phineas",NA,38.1013698630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,14,0.8,8,3.3,0.2,87,27,20,271,9.4,2.1,144,3.5,102,4.7,87,19,286,NA,NA,NA
"1142","Polyanna",1,8.03287671232877,18900,4.57,29.6,9.1,64.8,19.9,30.7,0.034,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143","Polyanna",1,12.0575342465753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,12,0.8,7.8,2.6,0.1,73,19,14,188,8.7,3.2,137,3.9,99,5.2,72,28,273,NA,NA,NA
"1144","Polyanna",1,13.1506849315068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,10,0.7,9.2,2.5,0.1,74,17,18,209,9.3,4.2,139,3.8,92,6.7,90,24,275,NA,NA,NA
"1145","Polyanna",1,13.9205479452055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,21,1,8.5,2.4,0.1,192,21,24,218,9.2,5.9,136,5,94,6.1,250,98,275,NA,NA,NA
"1146","Polyanna",1,9.98356164383562,24100,5.19,38.1,12.4,73.4,23.9,32.5,0.008,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147","Polyanna",1,11.0794520547945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,10,1,7.5,2.9,0.1,130,26,14,196,8.7,3.3,136,4,96,4.6,48,18,271,NA,NA,NA
"1148","Polyanna",1,9.17260273972603,23700,4.92,28.9,9,58.7,18.3,31.1,0.036,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","Puddin",0,20.3616438356164,12000,5.79,48.1,15.7,83.1,27.1,32.6,0.028,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150","Puddin",0,18.3452054794521,10100,6.21,50.9,17,82,27.4,33.4,0.039,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","Puddin",0,19.2986301369863,11700,5.8,47.7,15.8,81.4,27,33.1,0.049,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","Puddin",0,24.3479452054795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,10,1.1,4.5,3.9,0.2,105,43,29,174,9.3,3.4,145,3.2,111,0.6,118,42,285,NA,NA,NA
"1153","Puddin",0,21.5315068493151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,9,1,7.9,3.9,0.2,130,35,30,189,9.4,3.1,140,3.2,101,4,116,488,276,NA,NA,NA
"1154","Puddin",0,22.3506849315068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,8,1,7.6,3.7,0.2,113,40,32,175,9.6,2,137,2.9,96,3.9,59,52,269,NA,NA,NA
"1155","Puddin",0,23.3917808219178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,10,1.1,7.8,3.9,0.3,94,34,35,198,9.4,3.7,142,3.5,99,3.9,102,53,281,NA,NA,NA
"1156","Ranette",1,13.1972602739726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,11,1,6.7,3.8,0.1,64,27,13,145,9.7,2.8,138,3.5,106,2.9,119,14,272,NA,NA,NA
"1157","Ranette",1,14.2684931506849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,10,0.9,7.4,3.6,0.1,56,22,17,177,9.5,1.9,146,4,110,3.8,160,14,288,NA,NA,NA
"1158","Ranette",1,15.2027397260274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,9,0.9,6.8,3.5,0.1,63,34,22,152,8.3,4.6,144,3.7,114,3.3,169,14,282,NA,NA,NA
"1159","Ranette",1,16.1452054794521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,10,0.8,6.9,3.7,0.1,81,34,12,149,9.4,3.7,144,3.8,105,3.2,139,19,284,NA,NA,NA
"1160","Ranette",1,20.9260273972603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140",90
"1161","Ranette",1,21.9342465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130",87
"1162","Ranette",1,22.4328767123288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"161",106
"1163","Ranette",1,10.1205479452055,13400,5.33,40.3,13.4,75.6,25.1,33.3,0.033,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164","Ranette",1,11.0849315068493,12100,5.01,38.5,12.7,76.8,25.3,33,0.033,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165","Ranette",1,8.98630136986301,14900,5.35,42.2,13.3,78.9,24.9,31.5,0.029,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166","Reba",1,41.1561643835616,8500,4.64,40.3,13.3,86.9,28.7,33,0.055,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167","Reba",1,39.0876712328767,10500,4.66,40.7,43.7,87.3,29.4,33.7,0.06,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1168","Reba",1,40.1424657534247,13000,4.58,38.7,13.4,84.5,29.3,34.6,0.043,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169","Reba",1,44.8356164383562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,22,0.8,7.8,3.5,0.1,110,64,62,282,9.7,2.1,156,2.1,104,4.3,99,15,308,NA,NA,NA
"1170","Reba",1,44.2054794520548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,15,0.7,7.4,3.6,0.1,58,32,33,150,8.7,1.6,148,3.2,104,3.8,99,26,295,NA,NA,NA
"1171","Reba",1,42.1205479452055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,9,0.9,7.7,3.6,0.1,73,28,35,152,7.9,1.6,143,2.7,101,4.1,136,22,281,NA,NA,NA
"1172","Reba",1,43.1479452054795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,14,1.1,7.2,3.4,0.1,96,31,31,173,8.6,1.2,139,2.8,97,3.8,153,24,275,NA,NA,NA
"1173","Rebecca",0,7.5972602739726,7800,4.93,41.5,13.8,84.2,28,33.3,0.035,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174","Rebecca",0,6.52054794520548,9000,5.41,43.5,13.9,80.4,25.7,32,0.06,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1175","Rebecca",0,11.3808219178082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,11,1.1,6.7,3.6,0.2,202,26,12,230,9.4,3.1,137,4,106,3.1,57,18,272,NA,NA,NA
"1176","Rebecca",0,8.54520547945205,12000,4.47,37.4,11.9,83.7,26.6,31.8,0.049,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","Rebecca",0,9.51506849315068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,14,1,6.7,3.9,0.3,272,32,16,236,10.4,2.8,146,4.3,101,2.8,90,20,289,NA,NA,NA
"1178","Rebecca",0,10.4794520547945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,13,1.4,7,3.7,0.3,251,32,15,206,9.7,3.1,142,3.9,101,3.3,106,22,281,NA,NA,NA
"1179","Rebecca",0,19.0712328767123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.79,NA,NA
"1180","Rebecca",0,12.5452054794521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,12,0.5,6.7,3.5,0.3,185,34,20,213,9.7,3,132,3.6,96,3.2,85,40,261,NA,NA,NA
"1181","Rebecca",0,17.4547945205479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104",73
"1182","Rebecca",0,18.572602739726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106",62
"1183","Rebecca",0,19.8493150684932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.01,"124",75
"1185","Reid",1,4.54520547945206,6900,4.99,39.9,13.8,80,27.7,34.6,0.034,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186","Reid",1,5.54794520547945,9100,4.92,41,14.3,83.3,29.1,34.9,0.014,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187","Reid",1,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,12,0.9,7.6,3.9,0.1,327,24,18,142,9.7,2.9,143,3.8,103,3.7,91,17,282,NA,NA,NA
"1188","Reid",1,10.6493150684932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,12,0.7,7.7,3.8,0.1,152,25,18,153,9.5,2.7,143,4,100,3.9,117,18,282,NA,NA,NA
"1189","Reid",1,7.55342465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,13,0.9,7.4,3.8,0.2,1074,33,22,151,10,4,141,4.1,102,3.6,95,22,279,NA,NA,NA
"1190","Reid",1,8.75068493150685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,15,0.8,7.3,3.6,0.2,633,23,19,177,9.6,3.2,133,3.5,95,3.7,103,18,264,NA,NA,NA
"1191","Reid",1,3.4986301369863,10100,4.52,35.9,11.9,79.4,26.3,33.1,0.043,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1192","Rhett",0,11.8164383561644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,10,0.9,9.2,2.8,0.2,45,21,19,283,10.1,2.6,139,3.5,95,6.4,119,23,277,NA,NA,NA
"1193","Rhett",0,7.53150684931507,14900,6.14,48.8,15.5,79.5,25.2,31.8,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1194","Rhett",0,8.72054794520548,15100,5.63,41.9,13.2,74.4,23.4,31.5,0.021,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1195","Rhett",0,9.71780821917808,14600,5.68,40.5,12.7,71.3,22.4,31.4,0.027,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1196","Rhett",0,14.8054794520548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,11,0.8,8.9,2.8,0.2,65,15,17,297,10.4,2.4,153,4.2,104,6.1,139,29,303,NA,NA,NA
"1197","Rhett",0,13.5178082191781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,10,0.9,9.4,2.4,0.3,61,17,18,282,9.3,4,141,3.6,94,7,129,21,280,NA,NA,NA
"1198","Rhett",0,13.9424657534247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,10,0.9,9.1,2.8,0.1,63,13,12,260,9.2,2.7,143,3.5,103,6.3,131,22,283,NA,NA,NA
"1199","Rita",0,10.3780821917808,20100,5.25,43.1,14.3,82.1,27.2,33.2,0.043,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1200","Rita",0,10.1260273972603,15400,5.11,43.5,13.9,85.1,27.2,32,0.05,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201","Rita",0,15.5945205479452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,13,0.9,8.4,3.9,0.1,94,27,14,230,9.3,2.4,141,3.4,104,4.5,88,26,278,NA,NA,NA
"1202","Rita",0,11.4301369863014,12400,5.11,42.9,14.5,84,28.4,33.8,0.037,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203","Rita",0,13.4465753424658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,8,0.9,8.2,4,0.2,112,27,23,218,9.3,2.4,139,3.2,102,4.2,90,21,272,NA,NA,NA
"1204","Rita",0,14.6356164383562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,12,1,7.9,4,0.2,123,22,16,197,9.6,2.7,138,3.4,101,3.9,134,24,271,NA,NA,NA
"1206","Rita",0,16.5698630136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,15,0.8,7.7,3.7,0.2,97,35,20,206,10,3.6,140,3.6,101,4,82,26,277,NA,NA,NA
"1207","Rita",0,21.4383561643836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123",73
"1208","Rita",0,22.4547945205479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119",75
"1209","Rogger",0,32.2356164383562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,13,1.2,7.8,3.7,0.2,101,27,21,206,9.9,2.3,138,3.5,101,4.1,75,27,272,NA,NA,NA
"1210","Rogger",0,33.1972602739726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,15,0.9,7.6,3.5,0.2,111,27,30,207,9.3,2.8,145,3.9,104,4.1,143,22,286,NA,NA,NA
"1211","Rogger",0,34.1890410958904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,14,1.2,7.7,3.5,0.2,9.7,41,50,221,9.5,2.8,144,3.7,109,4.2,63,29,284,NA,NA,NA
"1212","Rogger",0,35.5698630136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,10,1.1,8,3.5,0.2,165,22,34,208,9.3,2.2,140,3.8,103,4.5,138,29,276,NA,NA,NA
"1213","Rogger",0,41.2712328767123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.36,NA,NA
"1214","Rogger",0,42.5561643835616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139",66
"1215","Rogger",0,42.6958904109589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113",74
"1216","Rogger",0,42.9808219178082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130",59
"1219","Rogger",0,28.2301369863014,5600,5.81,48.3,15.7,83.1,27,32.5,0.049,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1220","Rogger",0,29.1890410958904,6700,5.64,46.1,15.8,81.7,28,34.3,0.072,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1221","Rogger",0,30.241095890411,7600,5.75,48,16.1,83.5,28,33.5,0.072,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1222","Ronald",1,8.69315068493151,12400,4.8,41.9,13.7,87.3,28.5,32.7,0.027,2,0,83,16,1,7.3,3.6,0.5,652,33,16,203,9.7,3.8,136,3.8,96,3.7,106,NA,NA,NA,NA,NA
"1223","Ronald",1,11.6794520547945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,12,1.1,7.4,3.8,0.1,185,42,22,167,8.9,1.7,136,3.9,97,3.6,44,27,271,NA,NA,NA
"1224","Ronald",1,9.66575342465753,6500,5.62,47.8,16.1,85.1,28.6,33.7,0.037,3,0,81,13,1.1,7.3,3.6,0.4,330,30,15,174,9.3,4.1,136,3.4,96,3.7,47,NA,NA,NA,NA,NA
"1225","Ronald",1,10.6630136986301,23600,5.44,47.6,16,87.5,29.4,33.6,0.004,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1226","Ronald",1,10.6657534246575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,15,1.2,7.7,3.9,0.5,258,33,25,172,9.6,2.7,139,3.9,98,3.8,93,29,275,NA,NA,NA
"1227","Rosemary",1,1.81643835616438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,13,0.7,6.5,3.5,0.4,596,27,18,223,9.5,5.2,141,4.2,105,3,37,NA,NA,NA,NA,NA
"1228","Rosemary",1,2.7972602739726,8800,4.78,37.5,12.6,78.5,26.4,33.6,0.053,1,3,87,15,0.6,6.6,3.3,0.4,638,24,12,203,9.5,5.1,141,4.1,108,3.3,74,NA,NA,NA,NA,NA
"1229","Rosemary",1,3.8,14300,4.98,39,13,78.3,26.1,33.3,0.037,0,0,76,16,0.8,7.6,3.9,0.2,839,36,18,227,9.8,4.2,137,4,103,3.7,97,25,272,NA,NA,NA
"1230","Rosemary",1,5.04383561643836,7600,5.2,41,13.1,78.8,25.2,32,0.065,0,5,82,19,1.2,7.4,4,0.1,612,36,24,184,10.4,3.1,141,4.3,103,3.4,567,25,282,NA,NA,NA
"1231","Rowena",0,9.00821917808219,8300,4.77,37.4,1.6,78.4,26.4,33.7,0.036,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1232","Rowena",0,13.1095890410959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,10,1,8,4.3,0.2,106,59,12,184,10.1,4.9,137,4.1,100,3.7,174,80,272,NA,NA,NA
"1233","Rowena",0,10.0958904109589,10200,4.59,37.3,12.4,81.3,27,33.2,0.027,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1234","Rowena",0,11.1342465753425,7400,4.61,37,12.1,80.3,26.2,32.7,0.071,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1235","Rowena",0,12.1890410958904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,9,0.9,7.3,4.1,0.1,107,36,8,155,8.9,2.4,136,3.7,103,3.2,71,41,268,NA,NA,NA
"1236","Rowena",0,21.7342465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.19,NA,NA
"1237","Rowena",0,22.5287671232877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.72,"135",82
"1238","Rowena",0,23.1068493150685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138",66
"1239","Rowena",0,15.0219178082192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,8,1.1,7.9,3.8,0.2,122,59,9,168,9.3,3.9,142,3.6,104,4.1,187,52,280,NA,NA,NA
"1240","Rowena",0,21.2630136986301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"127",55
"1241","Rowena",0,14.2191780821918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,7,0.8,7.8,3.7,0.1,123,28,12,161,9.8,3.6,140,3.9,104,4.1,117,29,278,NA,NA,NA
"1242","Rufus",1,18.241095890411,19800,6.22,49.6,16.5,79.7,26.5,33.3,0.015,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1243","Rufus",1,16.1479452054795,7300,6.11,48.3,15.9,79.1,26,32.9,0.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1244","Rufus",1,17.1452054794521,8500,5.9,46.8,15.6,79.3,26.4,33.3,0.049,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1245","Rufus",1,23.2054794520548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,9,1.2,7.7,3.4,0.2,105,52,33,201,9.3,3.4,143,3.3,101,4.3,147,29,282,NA,NA,NA
"1246","Rufus",1,20.1835616438356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,12,1.4,9.3,3.8,0.2,175,34,27,163,10.9,1.7,142,3.5,103,5.5,160,32,282,NA,NA,NA
"1247","Rufus",1,21.2657534246575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,8,1.4,8.2,3.6,0.3,92,30,28,141,9.2,2.3,146,3.4,103,4.6,202,16,287,NA,NA,NA
"1248","Rufus",1,22.1342465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,12,1.3,8.4,3.6,0.3,87,30,31,196,8.5,2.9,141,3,99,4.8,128,32,278,NA,NA,NA
"1249","Sabrina",1,21.9780821917808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,12,1.3,7.7,3.4,0.2,78,29,19,205,9.7,2.5,136,3.7,100,4.3,80,22,270,NA,NA,NA
"1250","Sabrina",1,22.986301369863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,11,1.2,7.7,3.4,0.2,79,27,20,168,10.5,2.3,140,4.3,101,4.3,120,21,278,NA,NA,NA
"1251","Sabrina",1,24.1260273972603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,13,1,7.6,3.5,0.2,62,28,20,203,9.7,1.7,140,3.6,101,4.1,74,18,278,NA,NA,NA
"1252","Sabrina",1,25.0931506849315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,10,1,8,3.7,0.2,67,29,23,199,9.5,1.5,139,4.2,102,4.3,110,18,276,NA,NA,NA
"1253","Sabrina",1,31.1150684931507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166",76
"1254","Sabrina",1,32.3753424657534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.13,"146",79
"1255","Sabrina",1,33.0438356164384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.77,"126",72
"1257","Sabrina",1,19.013698630137,19000,4.98,42,13.8,84.3,27.7,32.9,0.024,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1258","Sabrina",1,19.986301369863,8700,4.87,41.4,13.9,85,28.5,33.6,0.058,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1259","Sabrina",1,21.0246575342466,8800,4.97,41.7,13.4,83.9,27,32.1,0.051,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1260","Sam",0,19.5945205479452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,16,1.4,7.9,3.8,0.3,95,50,60,173,4.1,1.6,139,3.5,96,4.1,56,30,277,NA,NA,NA
"1261","Sam",0,15.4,7200,5.64,47.5,16.5,84.2,29.3,34.7,0.04,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262","Sam",0,16.4,7400,5.59,47.8,16.5,85.5,29.5,34.5,0.054,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1263","Sam",0,17.4493150684931,13100,5.88,50,16.6,85,28.2,33.2,0.02,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
