chimp,sex,DoB,status,lastDate,,,,,,,,,,,,,Abby
Maverick,C0643,26/09/1993,Alive,22/03/2016,,,,,,,,,,,,,
Zana,C0664,18/06/1990,Alive,22/03/2016,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rufus,C0479,20-Jan-81,Death,18/09/2015,,,,,,,,,,,,,
Merlin,C0627,2-Feb-93,Alive,22/03/2016,,,,,,,,,,,,,
Reid,C0637,5-Jul-93,Death,9/5/2012,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Brodie,C0580,,Alive,22/03/2016,,,,,,,,,,,,,
Chip,C0567,,Alive,22/03/2016,,,,,,,,,,,,,
Drew,C0629,,Alive,22/03/2016,,,,,,,,,,,,,
Duncan,C0295,,Death,25/06/2015,,,,,,,,,,,,,
Jorg,C0301,,Death,?,,,,,,,,,,,,,
Kerri,C0724,,Death,?,,,,,,,,,,,,,
Kipper,C0457,,Death,?,,,,,,,,,,,,,
Pericles,C0661,3/8/2001,Alive,22/03/2016,,,,,,,,,,,,,
Rita,C0606,,Alive,22/03/2016,,,,,,,,,,,,,
Sara,C0548,16/05/1979,Death,25/06/2015,,,,,,,,,,,,,
Virginia,C0678,,Alive,22/03/2016,,,,,,,,,,,,,
