Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Lashley,2011.01.20,86,34,C,C,-,1,bl,0.65,290.6667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,9,9,sc.0214,Chamber 4,40,4,2,-,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,87,34,D,D,ABCD,1,1,0.4,291.0667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,0,0,sc.0216,Chamber 4,40,4,2,-,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,88,35,B,A,B,0,0,0.7166667,296.2167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,7,2,sc.0210,Chamber 4,40,4,2,-,2,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,89,36,B,A,B,0,0,2.45,306,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,6,1,sc.0210,Chamber 4,40,4,2,-,1,6,15,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,90,37,A,A,-,1,bl,2.566667,315.9667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,1,1,sc.0210,Chamber 4,40,4,2,-,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,91,37,B,B,-,1,bl,0.45,316.4167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,3,3,sc.0213,Chamber 4,40,4,2,-,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,92,37,C,C,-,1,bl,0.6333333,317.05,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,4,4,sc.0214,Chamber 4,40,4,2,-,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,93,37,D,D,ABCD,1,1,0.4833333,317.5333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,2,2,sc.0216,Chamber 4,40,4,2,-,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,94,38,C,A,C,0,0,2.383333,324.1333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,6,13,sc.0210,Chamber 4,40,4,2,-,13,8,6,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,95,39,A,A,-,1,bl,2.083333,333.5333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,7,7,sc.0210,Chamber 4,40,4,2,-,7,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,96,39,B,B,-,1,bl,1.016667,334.5333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,0,0,sc.0213,Chamber 4,40,4,2,-,7,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,97,39,C,C,-,1,bl,0.4833333,335.0167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,10,10,sc.0214,Chamber 4,40,4,2,-,7,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,98,39,D,D,ABCD,1,1,0.4,335.4167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,14,14,sc.0216,Chamber 4,40,4,2,-,7,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,99,40,A,A,-,1,bl,1.766667,341,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,0,0,sc.0210,Chamber 4,40,4,2,-,0,15,13,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,100,40,B,B,-,1,bl,0.7166667,341.7167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,15,15,sc.0213,Chamber 4,40,4,2,-,0,15,13,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,101,40,C,C,-,1,bl,0.5166667,342.2333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,13,13,sc.0214,Chamber 4,40,4,2,-,0,15,13,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,102,40,D,D,ABCD,1,1,0.4,342.6333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,3,3,sc.0216,Chamber 4,40,4,2,-,0,15,13,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.19,1,1,A,A,-,1,bl,1.75,3.383333,06:30,1,0206 0207 0208 0209,4,1,off,-,-,-,-,8,8,sc.0206,Chamber 4,40,4,2,-,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.19,2,1,C,B,AC,0,0,0.5333333,3.833333,06:30,1,0206 0207 0208 0209,4,1,off,-,-,-,-,1,11,sc.0207,Chamber 4,40,4,2,-,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
