Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Augustus,2011.03.09,53,35,C,C,-,1,bl,0.5666667,303.6833,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,2,2,sc.1157,Chamber 2,40,4,2,-,14,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,54,35,D,D,ABCD,1,1,0.6833333,304.3667,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,10,10,sc.1159,Chamber 2,40,4,2,-,14,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,55,36,A,A,-,1,bl,1.65,309.8167,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,0,0,sc.1154,Chamber 2,40,4,2,-,0,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,56,36,B,B,-,1,bl,1.083333,310.9,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,11,11,sc.1155,Chamber 2,40,4,2,-,0,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,57,36,D,C,ABD,0,0,0.65,311.55,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,3,8,sc.1157,Chamber 2,40,4,2,-,0,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,58,37,A,A,-,1,bl,1.35,319.7167,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,1,1,sc.1154,Chamber 2,40,4,2,-,1,7,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,59,37,B,B,-,1,bl,1.483333,321.2,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,7,7,sc.1155,Chamber 2,40,4,2,-,1,7,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,60,37,C,C,-,1,bl,1.25,322.45,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,2,2,sc.1157,Chamber 2,40,4,2,-,1,7,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,61,37,D,D,ABCD,1,1,0.8833333,323.3333,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,12,12,sc.1159,Chamber 2,40,4,2,-,1,7,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,62,38,A,A,-,1,bl,2.116667,329.3833,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,0,0,sc.1154,Chamber 2,40,4,2,-,0,7,10,14,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,63,38,C,B,AC,0,0,1.516667,330.9,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,10,7,sc.1155,Chamber 2,40,4,2,-,0,7,10,14,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,64,39,B,A,B,0,0,2.366667,340.5333,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,5,6,sc.1154,Chamber 2,40,4,2,-,6,5,14,9,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,65,40,B,A,B,0,0,2.116667,349.6833,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,12,8,sc.1154,Chamber 2,40,4,2,-,8,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,1,1,B,A,B,0,0,2.45,7.366667,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,0,14,sc.1150,Chamber 2,40,4,2,-,14,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,2,2,C,A,C,0,0,2.2,17.35,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,15,7,sc.1150,Chamber 2,40,4,2,-,7,13,15,8,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,3,3,D,A,D,0,0,1.916667,41.05,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,0,6,sc.1150,Chamber 2,40,4,2,-,6,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,4,4,D,A,D,0,0,8.916667,56.63333,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,12,15,sc.1150,Chamber 2,40,4,2,-,15,5,3,12,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,5,5,C,A,C,0,0,1.75,73.73333,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,6,0,sc.1150,Chamber 2,40,4,2,-,0,14,6,15,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,6,6,B,A,B,0,0,1.666667,88.08333,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,0,2,sc.1150,Chamber 2,40,4,2,-,2,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,7,7,A,A,-,1,bl,0.8166667,96.05,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,12,12,sc.1150,Chamber 2,40,4,2,-,12,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,8,7,B,B,-,1,bl,2.05,98.08333,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,1,1,sc.1151,Chamber 2,40,4,2,-,12,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,9,7,C,C,-,1,bl,0.85,98.93333,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,3,3,sc.1152,Chamber 2,40,4,2,-,12,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,10,7,D,D,ABCD,1,1,0.6166667,99.55,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,8,8,sc.1153,Chamber 2,40,4,2,-,12,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,11,8,B,A,B,0,0,2.383333,105.6333,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,13,10,sc.1150,Chamber 2,40,4,2,-,10,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,12,9,C,A,C,0,0,4.533333,120.1167,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,12,14,sc.1150,Chamber 2,40,4,2,-,14,13,12,3,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,13,10,B,A,B,0,0,1.266667,129.0833,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,11,12,sc.1150,Chamber 2,40,4,2,-,12,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,14,11,B,A,B,0,0,1.4,137.2167,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,10,6,sc.1150,Chamber 2,40,4,2,-,6,10,13,2,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,15,12,D,A,D,0,0,2.05,145.9833,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,15,0,sc.1150,Chamber 2,40,4,2,-,0,14,8,15,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,16,13,D,A,D,0,0,2.333333,155.3,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,10,6,sc.1150,Chamber 2,40,4,2,-,6,11,15,10,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,17,14,B,A,B,0,0,1.366667,162.8833,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,7,10,sc.1150,Chamber 2,40,4,2,-,10,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,18,15,D,A,D,0,0,1.7,171.5333,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,12,15,sc.1150,Chamber 2,40,4,2,-,15,2,11,12,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,19,16,C,A,C,0,0,1,179.5833,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,8,10,sc.1150,Chamber 2,40,4,2,-,10,3,8,15,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,20,17,B,A,B,0,0,0.8333333,189.4667,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,14,8,sc.1150,Chamber 2,40,4,2,-,8,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,21,18,C,A,C,0,0,0.9833333,198.0667,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,2,5,sc.1150,Chamber 2,40,4,2,-,5,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,22,19,B,A,B,0,0,5.383333,210.6167,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,9,4,sc.1150,Chamber 2,40,4,2,-,4,9,5,10,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,23,20,A,A,-,1,bl,1.75,219.6,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,8,8,sc.1150,Chamber 2,40,4,2,-,8,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.08,24,20,B,B,-,1,bl,0.8333333,220.4333,06:35,1,1150 1151 1152 1153,4,1,off,-,-,-,-,0,0,sc.1151,Chamber 2,40,4,2,-,8,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
