Subject,Rater,DOR,Group,Fear,Dom,Pers,Caut,Stbl,Aut,Curious,Thotl,Stngy,Jeals,Indv,Reckl,Soc,Dist,Tim,Symp,Play,Sol,Vuln,Innov,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Cool,Depd,Irri,Unper,Pred,Decs,Depr,Conv,Sens,Defn,Intll,Prot,Quit,Invt,Clmy,Errc,Frdy,Anx,Lazy,Dsor,Unem,Imit,Indp
Nereis,Cedric Sueur,28/10/2008,gaetan,5,2,3,5,5,1,5,5,6,2,5,2,5,2,4,5,6,5,5,2,7,3,2,4,2,3,3,5,6,4,6,3,6,4,4,3,6,4,3,5,5,5,3,5,3,2,4,2,5,2,4,3,2,6
Nicandro,Arianna De Marco,14/05/2013,group1,6,1,2,6,2,1,2,1,1,1,2,1,5,6,6,2,6,2,7,4,6,2,1,2,2,4,4,4,2,4,7,2,7,2,3,2,1,1,2,4,1,3,1,6,4,1,2,5,6,1,5,1,4,2
Nicandro,Andrea Sanna,14/05/2013,group1,5,1,4,4,3,1,4,3,3,5,4,4,3,4,6,4,4,2,5,2,6,4,2,2,4,4,4,4,4,4,6,4,4,3,4,4,4,1,4,4,3,4,4,4,3,1,3,4,5,2,4,4,4,3
Nicandro,Melissa Messinese,14/05/2013,group1,6,1,1,7,1,1,1,1,1,1,1,1,3,6,6,2,6,1,6,4,5,2,1,1,2,5,5,5,3,5,2,1,3,1,4,4,1,3,4,5,4,4,1,3,1,7,2,5,6,1,2,1,4,1
Nicandro,Elena Vero,14/05/2013,group1,6,1,1,6,2,1,6,2,5,5,1,1,7,5,6,4,7,1,6,6,7,4,2,3,4,3,4,7,6,6,6,3,6,5,4,3,5,1,4,3,2,4,4,4,6,3,5,5,5,1,4,4,5,1
Nimbo,Arianna De Marco,14/05/2013,group1,2,6,6,2,5,1,6,5,6,5,6,5,3,2,2,2,6,5,3,6,7,2,5,3,4,4,4,5,4,7,2,4,4,2,3,3,5,1,3,4,5,6,4,2,6,1,2,4,3,1,2,3,4,5
Nimbo,Andrea Sanna,14/05/2013,group1,3,5,5,3,3,2,5,5,5,5,5,4,4,5,4,4,6,3,4,6,6,4,5,4,4,3,4,4,5,5,2,3,3,4,4,3,4,1,2,4,5,4,4,5,6,1,5,3,3,2,5,5,4,4
Nimbo,Melissa Messinese,14/05/2013,group1,3,2,1,6,2,3,2,1,2,1,5,1,2,5,3,2,5,5,5,4,5,2,2,2,2,2,2,3,5,3,2,3,2,3,2,1,1,2,1,4,1,3,2,2,1,3,6,2,4,1,5,4,3,6
Nimbo,Elena Vero,14/05/2013,group1,5,2,2,5,5,6,6,3,4,3,5,1,3,5,6,2,6,4,5,6,6,4,2,2,1,4,3,5,5,5,5,4,3,2,4,3,4,1,2,4,1,4,4,5,6,7,1,4,5,1,5,4,4,5
Nina,Arianna De Marco,14/05/2013,group1,3,5,3,4,3,1,6,4,5,5,2,4,6,5,3,3,1,2,4,2,4,2,4,5,2,4,5,6,4,4,3,3,5,3,3,5,4,1,5,4,1,4,6,5,2,1,3,6,4,4,2,4,4,4
