Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
lash	2009.02.24	43	2	0	threerisk	Low	3	0.833	0.967	1	1	8	6	0.777	677.183	678.083	682.8	683.633	5	bl	bl	2.966667	2	9	0	Left	2194	508	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	44	2	0	threerisk	Low	3	1.983	0.6	1	0	5	7	0.777	689.25	697.133	701.85	703.833	5	bl	bl	4.133333	0	6	0	Left	1661	1073	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	45	2	0	threerisk	Medium	3	0.767	0.767	1	0	8	7	0.777	707.467	709.067	713.767	714.533	5	bl	bl	2.9	0	7	0	Middle	1761	367	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	46	2	1	threerisk	High	3	1.6	0.533	<n/a>	1	8	8	0.777	717.483	718.5	722.2	723.8	5	bl	bl	2.733333	2	7	0	Right	499	499	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	47	2	0	threerisk	Low	3	1.417	3.933	1	1	6	8	0.777	731.383	733.783	737.5	738.917	5	bl	bl	2.566667	0	6	0	Left	2398	1874	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	48	2	1	threerisk	High	3	1.967	0.833	<n/a>	0	4	4	0.777	746.583	747.333	752.083	754.05	5	bl	bl	4.15	2	7	0	Right	1855	1855	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	49	2	1	threerisk	High	3	1.167	0.5	<n/a>	0	4	4	0.777	761.967	770.317	775.05	776.217	5	bl	bl	3.316667	2	6	0	Right	2237	2237	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	50	2	1	threerisk	High	3	0.733	0.417	<n/a>	1	5	5	0.777	783.633	786.95	791.683	792.417	5	bl	bl	2.883333	2	6	0	Right	2061	2061	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	51	2	1	threerisk	High	3	1.233	0.717	<n/a>	0	6	6	0.777	799.783	806.917	811.633	812.867	5	bl	bl	3.383333	2	6	0	Right	2389	2389	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	52	2	1	threerisk	High	3	1	0.617	<n/a>	0	6	6	0.777	820.533	823.6	828.3	829.3	5	bl	bl	3.133333	2	6	0	Right	2458	2458	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
