Sub	Date	Trial	Accuracy	Risk
ebbi	2011.02.10	55	1	Medium
ebbi	2011.02.10	56	1	High
ebbi	2011.02.10	57	0	High
ebbi	2011.02.10	58	0	Medium
ebbi	2011.02.10	59	0	Medium
ebbi	2011.02.10	60	0	Low
ebbi	2011.02.22	1	1	High
ebbi	2011.02.22	2	1	High
ebbi	2011.02.22	3	1	High
ebbi	2011.02.22	4	1	High
ebbi	2011.02.22	5	1	High
ebbi	2011.02.22	6	1	High
ebbi	2011.02.22	7	0	High
ebbi	2011.02.22	8	1	Low
ebbi	2011.02.22	9	0	Medium
ebbi	2011.02.22	10	1	High
ebbi	2011.02.22	11	1	High
ebbi	2011.02.22	12	1	High
ebbi	2011.02.22	13	1	High
ebbi	2011.02.22	14	0	High
ebbi	2011.02.22	15	0	Low
ebbi	2011.02.22	16	1	Medium
ebbi	2011.02.22	17	1	High
ebbi	2011.02.22	18	0	Low
ebbi	2011.02.22	19	1	High
ebbi	2011.02.22	20	1	High
ebbi	2011.02.22	21	1	High
ebbi	2011.02.22	22	1	High
ebbi	2011.02.22	23	1	High
ebbi	2011.02.22	24	0	Medium
ebbi	2011.02.22	25	0	Low
ebbi	2011.02.22	26	1	Medium
ebbi	2011.02.22	27	0	Low
ebbi	2011.02.22	28	1	Low
ebbi	2011.02.22	29	0	High
ebbi	2011.02.22	30	0	Low
ebbi	2011.02.22	31	0	Low
ebbi	2011.02.22	32	0	Low
ebbi	2011.02.22	33	0	Medium
ebbi	2011.02.22	34	0	Low
ebbi	2011.02.22	35	1	Medium
ebbi	2011.02.22	36	0	High
ebbi	2011.02.22	37	0	Low
ebbi	2011.02.22	38	1	Medium
ebbi	2011.02.22	39	1	High
ebbi	2011.02.22	40	1	High
ebbi	2011.02.22	41	1	High
ebbi	2011.02.22	42	1	High
ebbi	2011.02.22	43	1	High
ebbi	2011.02.22	44	1	High
ebbi	2011.02.22	45	1	High
ebbi	2011.02.22	46	1	High
ebbi	2011.02.22	47	1	Medium
ebbi	2011.02.22	48	1	Medium
ebbi	2011.02.22	49	1	Low
ebbi	2011.02.22	50	1	Medium
ebbi	2011.02.22	51	0	Low
ebbi	2011.02.22	52	1	High
ebbi	2011.02.22	53	0	Medium
ebbi	2011.02.22	54	0	Low
ebbi	2011.02.22	55	0	Low
ebbi	2011.02.22	56	0	Medium
ebbi	2011.02.22	57	0	Medium
ebbi	2011.02.22	58	0	Low
ebbi	2011.02.22	59	0	Medium
ebbi	2011.02.22	60	0	Low
ebbi	2011.02.14	1	1	High
ebbi	2011.02.14	2	1	High
ebbi	2011.02.14	3	1	High
ebbi	2011.02.14	4	1	High
ebbi	2011.02.14	5	1	High
ebbi	2011.02.14	6	1	High
ebbi	2011.02.14	7	1	High
ebbi	2011.02.14	8	1	High
ebbi	2011.02.14	9	1	High
ebbi	2011.02.14	10	1	High
ebbi	2011.02.14	11	1	High
ebbi	2011.02.14	12	1	High
