Sub	Date	Trial	Accuracy	Risk
lash	2011.03.02	43	1	High
lash	2011.03.02	44	1	Medium
lash	2011.03.02	45	1	High
lash	2011.03.02	46	0	High
lash	2011.03.02	47	0	Low
lash	2011.03.02	48	0	Low
lash	2011.03.02	49	1	Low
lash	2011.03.02	50	1	Medium
lash	2011.03.02	51	0	Low
lash	2011.03.02	52	0	Medium
lash	2011.03.02	53	0	Low
lash	2011.03.02	54	1	High
lash	2011.03.02	55	1	Low
lash	2011.03.02	56	1	Medium
lash	2011.03.02	57	1	High
lash	2011.03.02	58	1	High
lash	2011.03.02	59	1	High
lash	2011.03.02	60	0	Medium
lash	2011.03.15	1	0	Low
lash	2011.03.15	2	1	Low
lash	2011.03.15	3	1	Low
lash	2011.03.15	4	1	Medium
lash	2011.03.15	5	0	Low
lash	2011.03.15	6	0	Low
lash	2011.03.15	7	0	Low
lash	2011.03.15	8	1	Low
lash	2011.03.15	9	0	Medium
lash	2011.03.15	10	0	Low
lash	2011.03.15	11	0	Low
lash	2011.03.15	12	0	Medium
lash	2011.03.15	13	0	Low
lash	2011.03.15	14	1	High
lash	2011.03.15	15	0	Low
lash	2011.03.15	16	0	Low
lash	2011.03.15	17	0	Low
lash	2011.03.15	18	1	Low
lash	2011.03.15	19	0	Low
lash	2011.03.15	20	0	Medium
lash	2011.03.15	21	0	Low
lash	2011.03.15	22	0	Medium
lash	2011.03.15	23	1	Medium
lash	2011.03.15	24	0	Low
lash	2011.03.15	25	0	Low
lash	2011.03.15	26	0	Low
lash	2011.03.15	27	0	Low
lash	2011.03.15	28	1	Low
lash	2011.03.15	29	1	Medium
lash	2011.03.15	30	0	Medium
lash	2011.03.15	31	0	Medium
lash	2011.03.15	32	0	High
lash	2011.03.15	33	1	High
lash	2011.03.15	34	0	Low
lash	2011.03.15	35	0	Low
lash	2011.03.15	36	0	High
lash	2011.03.15	37	0	High
lash	2011.03.15	38	0	Low
lash	2011.03.15	39	0	High
lash	2011.03.15	40	1	Medium
lash	2011.03.15	41	0	High
lash	2011.03.15	42	0	Medium
lash	2011.03.15	43	0	High
lash	2011.03.15	44	0	Medium
lash	2011.03.15	45	0	Low
lash	2011.03.15	46	0	Low
lash	2011.03.15	47	0	High
lash	2011.03.15	48	0	Medium
lash	2011.03.15	49	0	Medium
lash	2011.03.15	50	0	Low
lash	2011.03.15	51	1	High
lash	2011.03.15	52	0	Medium
lash	2011.03.15	53	0	High
lash	2011.03.15	54	0	Low
lash	2011.03.15	55	0	Medium
lash	2011.03.15	56	1	High
lash	2011.03.15	57	0	Low
lash	2011.03.15	58	1	High
lash	2011.03.15	59	0	Medium
lash	2011.03.15	60	0	Low
lash	2011.03.11	1	0	Low
lash	2011.03.11	2	1	Medium
lash	2011.03.11	3	1	High
lash	2011.03.11	4	1	Low
lash	2011.03.11	5	0	Low
lash	2011.03.11	6	0	High
lash	2011.03.11	7	1	Low
lash	2011.03.11	8	1	Low
lash	2011.03.11	9	0	Medium
lash	2011.03.11	10	0	Low
lash	2011.03.11	11	0	Low
lash	2011.03.11	12	0	Low
lash	2011.03.11	13	0	Medium
lash	2011.03.11	14	0	Low
lash	2011.03.11	15	0	Medium
lash	2011.03.11	16	0	Low
lash	2011.03.11	17	1	High
lash	2011.03.11	18	1	Medium
lash	2011.03.11	19	0	Low
lash	2011.03.11	20	0	Low
lash	2011.03.11	21	1	Low
lash	2011.03.11	22	1	High
lash	2011.03.11	23	0	Low
lash	2011.03.11	24	1	Medium
lash	2011.03.11	25	1	High
lash	2011.03.11	26	0	High
lash	2011.03.11	27	1	Medium
lash	2011.03.11	28	0	High
lash	2011.03.11	29	0	High
lash	2011.03.11	30	1	High
lash	2011.03.11	31	1	Medium
lash	2011.03.11	32	0	Low
lash	2011.03.11	33	1	Medium
lash	2011.03.11	34	0	Low
lash	2011.03.11	35	0	Low
lash	2011.03.11	36	0	Medium
lash	2011.03.11	37	1	Medium
lash	2011.03.11	38	0	High
lash	2011.03.11	39	0	Medium
lash	2011.03.11	40	1	High
lash	2011.03.11	41	0	Low
lash	2011.03.11	42	0	High
lash	2011.03.11	43	1	Medium
lash	2011.03.11	44	0	High
lash	2011.03.11	45	0	Medium
lash	2011.03.11	46	1	High
lash	2011.03.11	47	1	High
lash	2011.03.11	48	0	Low
lash	2011.03.11	49	0	Low
lash	2011.03.11	50	0	Low
lash	2011.03.11	51	1	Medium
lash	2011.03.11	52	0	Medium
lash	2011.03.11	53	0	High
lash	2011.03.11	54	0	Medium
lash	2011.03.11	55	0	High
lash	2011.03.11	56	0	High
lash	2011.03.11	57	1	Low
lash	2011.03.11	58	1	Low
lash	2011.03.11	59	0	Medium
lash	2011.03.11	60	1	Low
lash	2011.03.01	1	1	Low
lash	2011.03.01	2	1	Low
lash	2011.03.01	3	1	Low
lash	2011.03.01	4	1	High
lash	2011.03.01	5	1	High
lash	2011.03.01	6	1	High
lash	2011.03.01	7	1	High
lash	2011.03.01	8	0	Low
lash	2011.03.01	9	1	Low
lash	2011.03.01	10	1	High
lash	2011.03.01	11	1	High
lash	2011.03.01	12	1	High
lash	2011.03.01	13	1	High
lash	2011.03.01	14	1	High
lash	2011.03.01	15	1	High
lash	2011.03.01	16	1	Medium
lash	2011.03.01	17	1	Low
lash	2011.03.01	18	1	Low
lash	2011.03.01	19	1	High
lash	2011.03.01	20	1	Medium
lash	2011.03.01	21	0	Medium
lash	2011.03.01	22	1	Medium
lash	2011.03.01	23	1	Medium
lash	2011.03.01	24	1	Low
lash	2011.03.01	25	1	Low
lash	2011.03.01	26	1	Medium
lash	2011.03.01	27	1	High
lash	2011.03.01	28	1	High
lash	2011.03.01	29	0	Medium
lash	2011.03.01	30	1	Low
lash	2011.03.01	31	0	High
lash	2011.03.01	32	0	Medium
lash	2011.03.01	33	1	Low
lash	2011.03.01	34	1	Medium
lash	2011.03.01	35	0	Low
lash	2011.03.01	36	0	Low
lash	2011.03.01	37	0	Medium
lash	2011.03.01	38	0	Low
lash	2011.03.01	39	1	High
lash	2011.03.01	40	0	Low
lash	2011.03.01	41	1	Medium
lash	2011.03.01	42	1	High
lash	2011.03.01	43	1	High
lash	2011.03.01	44	1	Medium
lash	2011.03.01	45	1	Medium
lash	2011.03.01	46	1	High
lash	2011.03.01	47	1	High
lash	2011.03.01	48	1	High
lash	2011.03.01	49	1	Low
lash	2011.03.01	50	1	Low
lash	2011.03.01	51	1	Medium
lash	2011.03.01	52	1	Medium
lash	2011.03.01	53	1	Low
lash	2011.03.01	54	0	Low
lash	2011.03.01	55	0	Low
lash	2011.03.01	56	1	Low
lash	2011.03.01	57	1	Medium
lash	2011.03.01	58	1	Medium
lash	2011.03.01	59	1	High
lash	2011.03.01	60	1	High
lash	2011.03.08	1	0	Medium
lash	2011.03.08	2	1	High
lash	2011.03.08	3	1	Low
lash	2011.03.08	4	0	Low
lash	2011.03.08	5	1	High
lash	2011.03.08	6	1	Low
lash	2011.03.08	7	1	Medium
lash	2011.03.08	8	1	Low
lash	2011.03.08	9	1	High
lash	2011.03.08	10	1	Medium
lash	2011.03.08	11	1	High
lash	2011.03.08	12	0	Low
lash	2011.03.08	13	0	Medium
lash	2011.03.08	14	1	High
lash	2011.03.08	15	1	Medium
lash	2011.03.08	16	1	Low
lash	2011.03.08	17	1	High
lash	2011.03.08	18	1	High
lash	2011.03.08	19	1	Low
lash	2011.03.08	20	1	Medium
lash	2011.03.08	21	1	Medium
lash	2011.03.08	22	1	High
lash	2011.03.08	23	0	High
lash	2011.03.08	24	1	Low
lash	2011.03.08	25	1	Medium
lash	2011.03.08	26	1	High
lash	2011.03.08	27	1	Low
lash	2011.03.08	28	1	High
lash	2011.03.08	29	1	High
lash	2011.03.08	30	1	High
lash	2011.03.08	31	1	Medium
lash	2011.03.08	32	1	Low
lash	2011.03.08	33	1	Low
