Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
ebbi	2009.02.27	5	3	1	threerisk	High	3	1.417	0.533	<n/a>	2	4	4	0.772	47.717	49.75	54.55	55.967	8	bl	bl	3.633333	2	6	0	Right	1274	1274	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	6	3	1	threerisk	High	3	1.183	0.483	<n/a>	0	9	9	0.772	63.433	65.95	69.683	70.867	8	bl	bl	2.333333	2	6	0	Right	1013	1013	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	7	3	1	threerisk	High	3	1	0.483	<n/a>	0	6	6	0.772	78.317	82.133	86.933	87.933	8	bl	bl	3.216667	2	6	0	Right	1193	1193	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	8	3	1	threerisk	High	3	1.55	0.55	<n/a>	2	10	10	0.772	95.367	97.583	102.333	103.883	8	bl	bl	3.733333	2	6	0	Right	586	586	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	9	3	1	threerisk	High	3	1	0.433	<n/a>	0	9	9	0.772	111.367	116.05	120.867	121.867	8	bl	bl	3.233333	2	6	0	Right	991	991	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	10	3	0	threerisk	Low	3	1.517	0.483	0	0	7	4	0.772	129.233	131.633	136.45	137.967	8	bl	bl	3.733333	0	6	0	Left	1155	1418	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	11	3	1	threerisk	High	3	1.317	0.467	<n/a>	1	5	5	0.772	142.05	142.567	147.367	148.683	8	bl	bl	3.533333	2	7	0	Right	351	351	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	12	3	1	threerisk	High	3	0.75	0.5	<n/a>	0	8	8	0.772	156.183	158.85	163.633	164.383	8	bl	bl	2.95	2	6	0	Right	792	792	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	13	3	0	threerisk	Low	3	0.65	0.467	1	0	8	10	0.772	171.817	173.617	178.45	179.1	8	bl	bl	2.9	0	6	0	Left	1008	324	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	14	3	1	threerisk	High	3	1.233	0.517	<n/a>	0	7	7	0.772	183.217	183.833	188.617	189.85	8	bl	bl	3.416667	2	7	0	Right	611	611	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	15	3	1	threerisk	High	3	1.283	0.567	<n/a>	0	10	10	0.772	197.45	199.5	204.25	205.533	8	bl	bl	3.45	2	6	0	Right	1050	1050	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	16	3	0	threerisk	Low	3	1.667	0.5	1	1	8	9	0.772	213.033	215.267	220.033	221.7	8	bl	bl	3.85	0	6	0	Left	816	107	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	17	3	1	threerisk	High	3	2.267	0.567	<n/a>	1	7	7	0.772	225.267	226.667	231.433	233.7	8	bl	bl	4.45	2	7	0	Right	1325	1325	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	18	3	1	threerisk	High	3	2.017	0.483	<n/a>	0	11	11	0.772	241.35	243.05	246.85	248.867	8	bl	bl	3.233333	2	6	0	Right	575	575	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	19	3	1	threerisk	High	3	0.8	0.467	<n/a>	2	8	8	0.772	256.317	259.783	264.567	265.367	8	bl	bl	2.983333	2	6	0	Right	1645	1645	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	20	3	1	threerisk	High	3	0.8	0.433	<n/a>	0	5	5	0.772	272.767	275.917	280.733	281.533	8	bl	bl	3.033333	2	6	0	Right	1760	1760	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	21	3	0	threerisk	Low	3	0.867	0.517	0	1	5	9	0.772	288.95	291.317	296.117	296.983	8	bl	bl	3.083333	0	6	0	Left	1636	2451	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	22	3	1	threerisk	High	3	1.083	0.45	<n/a>	2	5	5	0.772	300.833	301.417	306.2	307.283	8	bl	bl	3.283333	2	7	0	Right	678	678	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	23	3	1	threerisk	Low	3	0.683	1.133	<n/a>	1	6	6	0.772	314.783	317.033	321.8	322.483	8	bl	bl	2.85	0	6	0	Left	1390	1390	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	24	3	0	threerisk	Low	3	1.3	0.533	0	2	6	10	0.772	326.7	327.35	332.1	333.4	8	bl	bl	3.466667	0	7	0	Left	2500	908	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	25	3	0	threerisk	Low	3	0.8	0.467	1	0	6	7	0.772	336.9	337.9	341.65	342.45	8	bl	bl	1.966667	0	8	0	Left	1029	580	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	26	3	0	threerisk	Low	3	0.683	0.517	0	0	8	9	0.772	345.85	346.6	351.367	352.05	8	bl	bl	2.866667	2	9	0	Left	2321	2368	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	27	3	0	threerisk	Low	3	0.7	0.55	0	1	11	9	0.772	357.15	360.4	365.2	365.9	8	bl	bl	2.916667	0	6	0	Left	2033	309	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	28	3	1	threerisk	High	3	0.767	0.483	<n/a>	2	8	8	0.772	369.533	370.35	375.183	375.95	8	bl	bl	3.016667	2	7	0	Right	1591	1591	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	29	3	1	threerisk	High	3	1.433	0.517	<n/a>	0	11	11	0.772	383.533	385.233	390.033	391.467	8	bl	bl	3.65	2	6	0	Right	1365	1365	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	30	3	1	threerisk	Low	3	2.083	0.617	<n/a>	2	7	7	0.772	398.983	400.733	405.567	407.65	8	bl	bl	4.333333	0	6	0	Left	2469	2469	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	31	3	1	threerisk	High	3	0.7	0.533	<n/a>	1	5	5	0.772	411.317	412.533	417.283	417.983	8	bl	bl	2.866667	2	7	0	Right	104	104	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	32	3	0	threerisk	High	3	2.45	0.45	1	2	4	6	0.772	425.567	428.05	432.833	435.283	8	bl	bl	4.65	0	6	0	Right	2185	1541	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	33	3	0	threerisk	Low	3	0.667	0.55	0	1	11	5	0.772	442.233	442.9	447.717	448.383	8	bl	bl	2.883333	0	2	0	Left	1816	2450	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	34	3	1	threerisk	Low	3	0.867	0.467	<n/a>	2	9	9	0.772	452.283	452.867	457.667	458.533	8	bl	bl	3.083333	0	3	0	Left	1718	1718	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	35	3	0	threerisk	Low	3	0.75	0.483	1	1	8	9	0.772	462.3	463.083	466.85	467.6	8	bl	bl	1.95	0	4	0	Left	1407	473	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	36	3	1	threerisk	Low	3	1.083	0.5	<n/a>	0	10	10	0.772	471.283	472	476.75	477.833	8	bl	bl	3.283333	0	5	0	Left	2447	2447	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	37	3	1	threerisk	High	3	1.233	0.483	<n/a>	0	11	11	0.772	481.467	482.183	486.95	488.183	8	bl	bl	3.4	2	6	0	Right	1868	1868	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	38	3	1	threerisk	High	3	2.267	0.55	<n/a>	0	11	11	0.772	495.65	498.1	501.9	504.167	8	bl	bl	3.483333	2	6	0	Right	553	553	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
