sex,status,age_pr,age,origin,sample,Dom,Ext,Con,Agr,Neu,Opn
1,0,19.23887748,41.17840055,CAPTIVE,2,4.666666667,4.888888889,5.222222222,4.866666667,4.444444444,3.833333334
0,1,2.130047912,11.6226931,CAPTIVE,2,5.583333333,6.666666667,4.407407407,5.733333333,4.888888889,5.666666667
0,0,2.25290499,17.71428571,CAPTIVE,6,3.166666667,6.666666667,5.666666667,4.8,5,5.5
0,0,6.630211893,21.15105947,CAPTIVE,6,3.166666667,5.111111111,4.777777778,4.6,4.666666667,5.5
1,0,9.850787132,25.20847573,CAPTIVE,2,3.229166667,2.555555556,5.25,4,4.916666667,3.25
1,1,9.826384142,22.36500342,CAPTIVE,6,6.583333333,4.888888889,3.222222222,2,5,5
1,0,23.2991102,33.58031442,CAPTIVE,4,4.488888889,4.366666667,4.238095238,3.944444445,4.666666667,4.083333333
0,0,30.13004791,39.58168148,WILD,2,5.25,3.388888889,5.833333333,4,2.666666667,4.5
0,0,10.55989049,20.59876965,CAPTIVE,4,4.053333333,5.02,3.985714286,5.266666667,5.36,4.05
1,0,6.828199863,28.81749829,CAPTIVE,2,4.166666667,6.174603174,4.650793651,4.742857143,4.142857143,5.857142857
0,1,42.69856459,45.25768968,WILD,6,3.583333333,2.444444444,4.666666667,2.6,2,3.5
0,0,1.903718914,10.92822967,CAPTIVE,4,3.533333333,5.966666667,5.404761905,2,3.733333333,5
1,0,27.83025325,36.54135338,CAPTIVE,4,5.066666667,4.8,4.428571429,4,4,5
0,0,17.78986995,26.85987697,CAPTIVE,4,4.133333333,3.325,4.142857143,2.5,4.55,2.9375
1,1,23.24982888,42.08065619,CAPTIVE,2,5.333333333,4,3.851851852,3.033333333,5.055555556,3.666666667
1,1,16.82843472,27.32194122,CAPTIVE,6,4.666666667,4.222222222,4.888888889,3.2,4.666666667,3
0,0,29.53319644,39.61175666,CAPTIVE,4,4.222222222,4.966666667,4.547619048,4.666666667,4.733333333,4.583333333
1,1,24.43988136,29.16746411,WILD,4,4.066666667,3.3,5.095238095,3.722222222,2.533333333,3.333333334
1,0,2.143737166,18.30211893,CAPTIVE,2,4.583333333,4.888888889,3.666666667,3.6,6.333333333,4.5
0,1,16.04921394,34.24470267,CAPTIVE,6,6.125,4.111111111,3.333333333,3,5.166666667,4.75
1,1,8.796714579,12.74367738,CAPTIVE,2,3.402777778,3.388888889,3.925925926,3.833333333,4.722222222,4.166666667
0,0,33.36162446,43.5543404,WILD,4,4.6,3.933333333,5.357142857,4.166666667,2.066666667,4.916666667
0,0,7.097744361,22.55912509,CAPTIVE,6,1.833333333,6.666666667,6.111111111,5.4,5,5.5
0,0,12.15879535,31.23991798,CAPTIVE,2,3,5.222222222,4.407407407,3.8,5.222222222,4.5
1,1,12.27104723,17.49282297,CAPTIVE,2,6.125,3.592592593,4.055555555,3.233333333,5.222222222,3.5
1,0,32.13597992,39.69924812,CAPTIVE,4,3.577777778,3.033333333,5.619047619,3.222222222,2.733333333,2.5
0,0,9.730321697,19.77033493,CAPTIVE,4,4.346666667,3.88,4.514285714,3.633333333,3.76,6.45
0,0,2.590691307,11.68010936,CAPTIVE,4,3.9,5.525,5.482142857,3.416666667,3.4,4.4375
1,1,14.81724846,28.08475735,CAPTIVE,2,3.972222222,4.814814815,5.074074074,3.866666667,5.555555556,2.666666667
1,1,17.20027341,18.75051265,CAPTIVE,3,5.466666667,4.1,3.964285714,2.25,3.8,3.75
1,1,21.69241285,25.07723855,CAPTIVE,6,5.375,2.666666667,3.277777778,1.7,4.5,2.25
