sagRank,Team,,RATING,W,L,SCHEDL,(RANK) VS,top,25,|,VS top,50,|,GO,LDEN_MEA,N,|,PREDICTOR,,|,PURE_ELO,
106,Portland,=,77.01,15,14,73.95,-117,1,2,|,2,3,|,,76.56  1,6,|,77.05,101,|,76.12  1,14
107,Auburn,=,76.97,13,13,75.24,-97,0,4,|,0,6,|,,77.62,94,|,77.26,99,|,74.14  1,47
108,Indiana St.,=,76.61,19,8,72.9,-138,0,2,|,0,3,|,,76.45  1,9,|,75.72,119,|,80.17,69
109,Butler,=,76.59,11,16,79.52,-18,0,5,|,0,9,|,,76.78  1,4,|,76.58,105,|,75.31  1,28
110,Delaware,=,76.51,21,9,71.36,-182,0,2,|,0,2,|,,75.84  1,12,|,75.76,118,|,79.86,73
111,Eastern Michigan,=,76.43,13,12,74.38,-113,0,3,|,0,4,|,,75.33  1,20,|,76.5,106,|,76.05  1,17
112,Wake Forest,=,76.33,15,13,77.78,-49,1,6,|,1,9,|,,75.49  1,19,|,75.97,115,|,77.72,96
113,Princeton,=,76.26,15,8,71.22,-189,0,0,|,0,2,|,,76.51  1,8,|,76.16,113,|,75.30  1,29
114,La Salle,=,76.22,13,14,77.19,-62,0,1,|,1,5,|,,75.57  1,18,|,76.17,112,|,75.87  1,19
115,Fresno St.,=,76.18,13,14,76.48,-76,0,3,|,0,5,|,,75.60  1,14,|,76.24,108,|,75.32  1,27
116,Utah St.,=,76.11,14,13,75,-101,0,2,|,0,5,|,,77.13  1,1,|,76.07,114,|,74.27  1,46
117,Columbia,=,75.9,17,10,70.57,-208,0,1,|,0,3,|,,75.71  1,13,|,76.2,109,|,73.66  1,51
118,Boston U.,=,75.73,21,9,70.28,-216,0,1,|,0,3,|,,76.05  1,11,|,74.59,133,|,80.13,71
119,Hawai'i,=,75.66,17,9,70.47,-212,0,0,|,0,0,|,,75.58  1,17,|,75.95,116,|,73.35  1,57
120,Texas A&M,=,75.49,16,12,74.19,-115,0,2,|,3,4,|,,75.59  1,16,|,75.08,124,|,76.08  1,16
121,Northwestern,=,75.41,12,16,79.88,-10,1,8,|,2  1,0,|,,74.61  1,29,|,75.79,117,|,73.36  1,56
122,Belmont,=,75.41,21,8,70.76,-200,1,1,|,1,2,|,,74.38  1,35,|,74.62,132,|,79.33,80
123,Canisius,=,75.38,20,9,71.31,-186,0,0,|,0,0,|,,74.74  1,25,|,74.9,129,|,77.09,99
124,Long Beach St.,=,75.34,11,14,76.91,-67,0,3,|,0,6,|,,74.58  1,30,|,75.42,120,|,74.59  1,38
125,San Diego,=,75.31,14,14,74.7,-107,1,2,|,1,4,|,,74.69  1,28,|,74.98,126,|,76.28  1,13
126,Louisiana Lafayette,=,75.1,15,10,71.01,-194,0,1,|,1,3,|,,74.91  1,21,|,75.26,121,|,73.46  1,55
127,Denver,=,75.05,14,13,73.17,-129,0,0,|,0,2,|,,74.73  1,27,|,74.9,128,|,74.84  1,33
128,American,=,75.04,17,11,69.86,-231,0,1,|,0,1,|,,74.20  1,37,|,74.95,127,|,75.15  1,30
129,Towson,=,74.94,20,9,69.64,-236,0,2,|,0,2,|,,73.34  1,48,|,74.16,137,|,79.49,77
130,Georgia Tech,=,74.93,13,15,77.6,-54,0,5,|,0,6,|,,73.92  1,39,|,75.09,123,|,73.98  1,48
131,Colorado St.,=,74.9,13,14,74.57,-109,0,3,|,0,6,|,,74.52  1,32,|,75.15,122,|,73.00  1,59
132,Western Michigan,=,74.86,18,8,71.56,-175,0,0,|,0,0,|,,74.12  1,38,|,73.99,140,|,78.79,85
133,Quinnipiac,=,74.84,19,9,70.6,-207,0,0,|,0,0,|,,73.85  1,42,|,74.48,135,|,76.33  1,12
134,Drexel,=,74.74,16,12,72.69,-147,0,2,|,0,2,|,,74.49  1,33,|,74.55,134,|,74.71  1,37
135,Arkansas St.,=,74.68,15,9,69.61,-238,0,0,|,0,1,|,,73.88  1,40,|,74.65,131,|,74.41  1,41
136,South Carolina,=,74.62,10,18,77.34,-60,0,2,|,0,5,|,,74.89  1,22,|,75,125,|,71.51  1,78
137,Davidson,=,74.5,17,11,68.35,-276,0,4,|,0,5,|,,74.74  1,26,|,73.95,142,|,75.65  1,24
138,Pacific,=,74.49,13,14,76.37,-78,0,2,|,1,4,|,,74.77  1,24,|,73.96,141,|,75.49  1,26
139,South Dakota St.,=,74.47,14,11,72.56,-152,0,0,|,0,2,|,,73.62  1,44,|,73.91,143,|,76.78  1,6
140,George Mason,=,74.41,10,17,77.13,-63,0,1,|,1,7,|,,74.57  1,31,|,74.69,130,|,71.87  1,73
141,Pepperdine,=,74.39,14,14,75.58,-92,0,2,|,1,3,|,,74.31  1,36,|,73.68,146,|,76.71  1,7
142,Nevada,=,74.11,13,15,74.73,-106,0,2,|,0,3,|,,73.34  1,49,|,74.39,136,|,72.46  1,63
143,Missouri St.,=,74.09,18,10,72.15,-164,0,3,|,0,3,|,,74.44  1,34,|,73.19,153,|,76.86  1,4
144,Houston,=,74.01,14,14,75.03,-100,1,5,|,2,9,|,,74.83  1,23,|,73.49,147,|,74.42  1,40
145,Akron,=,73.95,17,11,72.82,-144,0,1,|,0,1,|,,73.87  1,41,|,73.39,150,|,75.49  1,25
146,Rhode Island,=,73.83,11,17,77.12,-64,0,1,|,0,7,|,,73.69  1,43,|,74.16,138,|,71.34  1,82
147,Valparaiso,=,73.79,14,13,72.48,-156,0,0,|,0,1,|,,73.40  1,46,|,73.86,145,|,72.68  1,62
148,DePaul,=,73.79,11,18,79.6,-14,0,5,|,1,9,|,,73.29  1,51,|,73.37,151,|,75.04  1,31
149,Illinois St.,=,73.58,15,13,73.89,-118,0,2,|,0,3,|,,72.56  1,59,|,73.28,152,|,74.81  1,35
150,Holy Cross,=,73.45,18,11,69.64,-237,0,2,|,0,3,|,,73.51  1,45,|,73.12,154,|,73.73  1,50
151,Wright St.,=,73.36,15,13,70.73,-201,0,0,|,0,0,|,,72.97  1,58,|,73.46,148,|,72.09  1,69
152,UAB,=,73.29,16,10,70.63,-206,1,0,|,1,1,|,,73.11  1,55,|,73.01,155,|,73.58  1,53
153,Temple,=,73.23,7,20,78.93,-25,0,7,|,1  1,1,|,,73.11  1,54,|,73.9,144,|,69.09  2,22
154,Fort Wayne(IPFW),=,73.2,18,9,69.59,-240,0,0,|,0,0,|,,73.05  1,56,|,72.43,160,|,75.82  1,20
155,Southern California,=,73.15,9,18,80.2,-7,0,4,|,1  1,2,|,,73.19  1,53,|,73.46,149,|,70.55  1,94
156,Eastern Kentucky,=,73.11,18,9,67.18,-314,0,1,|,0,2,|,,72.06  1,65,|,72.81,157,|,74.33  1,44
157,Boston College,=,73.07,6,21,80.46,-4,1,6,|,1,9,|,,73.32  1,50,|,74,139,|,67.19  2,57
158,Stony Brook-NY,=,72.85,19,9,66.35,-335,0,0,|,0,1,|,,73.22  1,52,|,72.34,162,|,73.66  1,52
159,Omaha(Neb.-Omaha),=,72.79,13,13,71.57,-174,0,1,|,0,2,|,,73.37  1,47,|,72.91,156,|,70.53  1,96
160,Duquesne,=,72.54,12,15,73.39,-125,0,1,|,1,4,|,,72.36  1,60,|,72.64,158,|,71.10  1,89
161,Morehead St.,=,72.51,17,11,69.23,-253,0,1,|,0,3,|,,71.78  1,69,|,71.74,168,|,75.70  1,23
162,Western Kentucky,=,72.4,18,9,70.15,-222,0,2,|,0,2,|,,71.95  1,66,|,71.41,174,|,76.38  1,10
163,Weber St.,=,72.25,14,9,67.98,-287,0,1,|,0,2,|,,71.49  1,73,|,72.37,161,|,71.24  1,84
164,Southern U.,=,72.16,14,11,66.47,-332,0,2,|,0,4,|,,73.02  1,57,|,71.25,176,|,74.34  1,43
165,Robert Morris,=,72.15,19,11,69.88,-229,0,2,|,0,2,|,,71.27  1,77,|,71.19,177,|,76.40  1,9
166,Bucknell,=,72.14,15,13,70.48,-211,0,0,|,0,2,|,,72.08  1,64,|,72.06,164,|,71.40  1,80
167,Murray St.,=,72.14,16,9,68.22,-280,0,0,|,0,0,|,,70.57  1,90,|,71.73,169,|,74.38  1,42
168,Brown,=,72.13,14,10,68.61,-269,0,0,|,0,1,|,,71.05  1,79,|,72.55,159,|,70.08  2,1
169,Yale,=,72,13,11,72.4,-158,0,1,|,1,2,|,,71.68  1,70,|,71.88,167,|,71.72  1,77
170,Southern Illinois,=,71.92,11,18,72.86,-139,0,2,|,0,3,|,,71.37  1,75,|,71.93,166,|,71.23  1,86
