Day,Month,Year,Observer ID,Start Time,Duration ,Aggression,Victim 1,Support,Supporter 1,Supporter 2,Supporter 3,Supporter 4,Supporter 5,Supporter 6,Dyadic +,Context,Aggressor ,Support,Support 1,Support 2,Support 3,Support 4,Support 5,Contact ,Directed non-contact,Display,Decided interaction,Notes,,,,,,,,
Day,Month,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sep,2012,RB,09:58,31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sep,2012,RB,10:33,34,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sep,2012,RB,11:12,30,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sep,2012,RB,11:59,11,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sep,2012,RB,13:29,31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sep,2012,RB,14:13,31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sep,2012,RB,14:58,3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sep,2012,RB,15:10,20,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sep,2012,RB,09:37,11,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sep,2012,RB,09:52,33,N,,,,,,,,,,,,,,,,,,,,,,"Aggression call outside, LU LO EM PA ED all went out quickly. DA hugged FK.",,,,,,,,
20,Sep,2012,RB,10:37,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LB,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,LB started charging around and displaced FK + PA but not diected at anyone,,,,,,,,
20,Sep,2012,RB,10:37,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,FK charged around and displaced EV,,,,,,,,
20,Sep,2012,RB,10:37,34,Y,RE,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,Y,N,N,Y,"FK charged at RE, both hit each other as he ran past",,,,,,,,
20,Sep,2012,RB,10:37,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"FK charged around and banged at the door, KD responded with vocalisation",,,,,,,,
